1025,470,492,559,569,588,598,645,647,652
1025,470,492,559,569,588,598,645,647,652
1025,470,492,559,569,588,598,645,647,652
1025,1274,470,492,559,569,588,598,985,996
58,645,647,652,656,721,724,725,95,223
58,645,647,652,656,721,724,725,95,223
58,645,647,652,656,1168,470,559,598,95
1025,470,492,559,569,588,598,996,1059,348
678,757,836,837,841,845,848,919,927,193
19,20,2561,2563,2564,2571,2572,2577,2579,2580
19,20,2561,2564,2571,2579,2580,2585,2587,2588
19,2561,2563,2571,2572,2577,2579,2585,2587,2588
559,58,645,647,652,656,721,724,725,470
19,2561,2564,2571,2572,2577,2579,2585,2587,2588
724,889,895,89,726,892,90,247,249,725
656,724,645,647,913,652,782,889,895,89
656,724,645,647,652,889,89,895,896,90
569,1059,1025,492,588,817,820,907,961,993
58,223,757,913,678,837,840,841,847,850
58,223,913,678,757,837,841,845,852,853
58,913,223,678,757,782,852,853,861,927
58,913,223,678,757,782,836,837,840,841
58,913,223,757,678,782,837,840,841,845
647,58,645,652,656,95,223,678,805,815
58,598,645,647,652,656,470,559,95,1062
58,647,656,470,559,598,645,652,95,678
1025,470,492,559,569,588,598,3651,3741,820
647,645,652,656,19,2561,2563,2564,2571,2579
58,645,647,652,656,721,724,725,95,470
1025,470,4787,492,559,569,588,58,598,645
58,645,647,652,656,721,724,725,95,470
559,58,645,647,652,656,721,724,725,470
569,588,645,647,652,656,724,1025,470,492
1025,470,492,559,569,588,598,1059,1062,1086
1025,470,492,559,569,588,58,598,645,647
2563,2603,2619,2627,2633,2643,2651,2715,27,19
58,61,19,2563,2569,2571,2577,2579,2585,2587
19,20,2563,2564,2569,2571,2577,2579,2585,2587
820,817,827,3211,3259,3267,3275,3385,3395,3427
559,569,598,645,647,652,656,724,1025,470
913,757,678,836,837,841,845,846,847,848
470,559,58,598,645,647,652,656,721,724
58,1025,470,492,559,569,588,598,645,647
678,757,33,36,37,42,44,19,2577,2595
678,34,38,757,2571,2587,2595,2603,2627,2633
58,1025,470,492,559,569,588,598,645,647
58,1025,470,492,559,569,588,598,645,647
1025,470,492,559,569,588,58,598,645,647
678,757,2587,2593,2627,33,34,35,36,37
58,647,1025,470,492,559,569,588,598,645
